id,title,isPaidOnly,difficulty,likeDislike_ratio,likes,dislikes
60,Permutation Sequence,0,Medium,3,1003,268
133,Clone Graph,0,Medium,0,997,1052
137,Single Number II,0,Medium,3,988,276
50,"Pow(x, n)",0,Medium,0,986,2401
332,Reconstruct Itinerary,0,Medium,1,979,641
787,Cheapest Flights Within K Stops,0,Medium,26,974,37
518,Coin Change 2,0,Medium,24,970,40
130,Surrounded Regions,0,Medium,1,967,495
77,Combinations,0,Medium,17,967,56
144,Binary Tree Preorder Traversal,0,Medium,21,964,45
134,Gas Station,0,Medium,2,960,321
692,Top K Frequent Words,0,Medium,10,956,92
377,Combination Sum IV,0,Medium,8,948,112
328,Odd Even Linked List,0,Medium,3,944,242
673,Number of Longest Increasing Subsequence,0,Medium,14,934,64
395,Longest Substring with At Least K Repeating Characters,0,Medium,11,890,79
652,Find Duplicate Subtrees,0,Medium,5,889,171
540,Single Element in a Sorted Array,0,Medium,13,888,66
445,Add Two Numbers II,0,Medium,7,888,115
227,Basic Calculator II,0,Medium,5,885,159
307,Range Sum Query - Mutable,0,Medium,13,860,66
542,01 Matrix,0,Medium,9,859,87
451,Sort Characters By Frequency,0,Medium,10,857,79
503,Next Greater Element II,0,Medium,18,848,47
525,Contiguous Array,0,Medium,19,834,42
86,Partition List,0,Medium,3,829,220
684,Redundant Connection,0,Medium,4,828,202
373,Find K Pairs with Smallest Sums,0,Medium,11,828,71
129,Sum Root to Leaf Numbers,0,Medium,28,827,29
81,Search in Rotated Sorted Array II,0,Medium,2,824,358
523,Continuous Subarray Sum,0,Medium,0,823,1131
785,Is Graph Bipartite?,0,Medium,7,822,104
658,Find K Closest Elements,0,Medium,4,822,168
449,Serialize and Deserialize BST,0,Medium,14,822,55
285,Inorder Successor in BST,1,Medium,15,820,53
93,Restore IP Addresses,0,Medium,2,818,345
29,Divide Two Integers,0,Medium,0,811,3894
743,Network Delay Time,0,Medium,4,807,180
454,4Sum II,0,Medium,13,806,62
421,Maximum XOR of Two Numbers in an Array,0,Medium,5,804,156
721,Accounts Merge,0,Medium,3,803,215
567,Permutation in String,0,Medium,19,798,42
583,Delete Operation for Two Strings,0,Medium,37,792,21
718,Maximum Length of Repeated Subarray,0,Medium,23,789,33
713,Subarray Product Less Than K,0,Medium,19,789,40
979,Distribute Coins in Binary Tree,0,Medium,31,786,25
417,Pacific Atlantic Water Flow,0,Medium,5,784,145
220,Contains Duplicate III,0,Medium,0,783,784
80,Remove Duplicates from Sorted Array II,0,Medium,1,782,591
678,Valid Parenthesis String,0,Medium,28,773,27
662,Maximum Width of Binary Tree,0,Medium,4,767,157
650,2 Keys Keyboard,0,Medium,14,767,52
277,Find the Celebrity,1,Medium,7,763,98
973,K Closest Points to Origin,0,Medium,10,756,71
456,132 Pattern,0,Medium,16,755,46
286,Walls and Gates,1,Medium,83,750,9
261,Graph Valid Tree,1,Medium,32,744,23
61,Rotate List,0,Medium,0,740,888
